train;age;educ;black;hisp;married;nodegree;mosinex;re74;re75;re78;unem74;unem75;unem78;lre74;lre75;lre78;agesq;mostrn
1;37;11;1;0;1;1;13;0;0;9.9300499;1;1;0;0;0;2.2955656;1369;13
1;22;9;0;1;0;1;13;0;0;3.59589;1;1;0;0;0;1.2797916;484;13
1;30;12;1;0;0;0;13;0;0;24.9095;1;1;0;0;0;3.2152493;900;13
1;27;11;1;0;0;1;13;0;0;7.5061502;1;1;0;0;0;2.0157228;729;13
1;33;8;1;0;0;1;13;0;0;.28979;1;1;0;0;0;-1.2385987;1089;13
1;22;9;1;0;0;1;13;0;0;4.0564899;1;1;0;0;0;1.400318;484;13
1;23;12;1;0;0;0;6;0;0;0;1;1;1;0;0;0;529;6
1;32;11;1;0;0;1;6;0;0;8.4721603;1;1;0;0;0;2.1367855;1024;6
1;22;16;1;0;0;0;14;0;0;2.1640201;1;1;0;0;0;.77196765;484;14
1;33;12;0;0;1;0;13;0;0;12.4181;1;1;0;0;0;2.519155;1089;13
1;19;9;1;0;0;1;14;0;0;8.1739101;1;1;0;0;0;2.1009474;361;14
1;21;13;1;0;0;0;14;0;0;17.094601;1;1;0;0;0;2.8387628;441;14
1;18;8;1;0;0;1;15;0;0;0;1;1;1;0;0;0;324;15
1;27;10;1;0;1;1;15;0;0;18.739901;1;1;0;0;0;2.930655;729;15
1;17;7;1;0;0;1;15;0;0;3.0238798;1;1;0;0;0;1.1065407;289;15
1;19;10;1;0;0;1;13;0;0;3.2284999;1;1;0;0;0;1.1720176;361;13
1;27;13;1;0;0;0;6;0;0;14.5819;1;1;0;0;0;2.679781;729;6
1;23;10;1;0;0;1;13;0;0;7.6933999;1;1;0;0;0;2.0403628;529;13
1;40;12;1;0;0;0;15;0;0;10.8043;1;1;0;0;0;2.3799443;1600;15
1;26;12;1;0;0;0;21;0;0;10.7474;1;1;0;0;0;2.3746638;676;21
1;23;11;1;0;0;1;6;0;0;0;1;1;1;0;0;0;529;6
1;41;14;0;0;0;0;14;0;0;5.1494999;1;1;0;0;0;1.6388996;1681;14
1;38;9;0;0;0;1;6;0;0;6.4089499;1;1;0;0;0;1.8576955;1444;6
1;24;11;1;0;0;1;6;0;0;1.9914;1;1;0;0;0;.68883789;576;6
1;18;10;1;0;0;1;15;0;0;11.1632;1;1;0;0;0;2.4126227;324;15
1;29;11;1;0;1;1;6;0;0;9.6429996;1;1;0;0;0;2.2662323;841;6
1;25;11;1;0;0;1;13;0;0;9.8970499;1;1;0;0;0;2.2922368;625;13
1;27;10;0;1;0;1;13;0;0;11.1429;1;1;0;0;0;2.4108026;729;13
1;17;10;1;0;0;1;14;0;0;16.217999;1;1;0;0;0;2.7861216;289;14
1;24;11;1;0;0;1;15;0;0;.9957;1;1;0;0;0;-.0043092701;576;15
1;17;10;1;0;0;1;6;0;0;0;1;1;1;0;0;0;289;6
1;48;4;1;0;0;1;14;0;0;6.55159;1;1;0;0;0;1.8797078;2304;14
1;25;11;1;0;1;1;14;0;0;1.5744201;1;1;0;0;0;.45388702;625;14
1;20;12;1;0;0;0;14;0;0;0;1;1;1;0;0;0;400;14
1;25;12;1;0;0;0;14;0;0;3.19175;1;1;0;0;0;1.1605694;625;14
1;42;14;1;0;0;0;12;0;0;20.505901;1;1;0;0;0;3.0207126;1764;12
1;25;5;1;0;0;1;15;0;0;6.18188;1;1;0;0;0;1.8216225;625;15
1;23;12;1;0;1;0;13;0;0;5.9115496;1;1;0;0;0;1.776908;529;13
1;46;8;1;0;1;1;15;0;0;3.0941598;1;1;0;0;0;1.1295164;2116;15
1;24;10;1;0;0;1;15;0;0;0;1;1;1;0;0;0;576;15
1;21;12;1;0;0;0;15;0;0;1.2545799;1;1;0;0;0;.22680077;441;15
1;19;9;0;0;0;1;14;0;0;13.1888;1;1;0;0;0;2.5793679;361;14
1;17;8;1;0;0;1;15;0;0;8.0614901;1;1;0;0;0;2.0870984;289;15
1;18;8;0;1;1;1;15;0;0;2.7879601;1;1;0;0;0;1.0253102;324;15
1;20;11;1;0;0;1;23;0;0;3.9725399;1;1;0;0;0;1.3794056;400;23
1;25;11;1;0;1;1;15;0;0;0;1;1;1;0;0;0;625;15
1;17;8;1;0;0;1;13;0;0;0;1;1;1;0;0;0;289;13
1;17;9;1;0;0;1;13;0;0;0;1;1;1;0;0;0;289;13
1;25;5;1;0;0;1;24;0;0;12.1874;1;1;0;0;0;2.5004027;625;24
1;23;12;1;0;0;0;15;0;0;4.8431802;1;1;0;0;0;1.5775715;529;15
1;28;8;1;0;0;1;14;0;0;0;1;1;1;0;0;0;784;14
1;31;11;1;0;1;1;24;0;0;8.0874901;1;1;0;0;0;2.0903184;961;24
1;18;11;1;0;0;1;24;0;0;0;1;1;1;0;0;0;324;24
1;25;12;1;0;0;0;13;0;0;2.3489699;1;1;0;0;0;.85397691;625;13
1;30;11;1;0;1;1;15;0;0;.59078199;1;1;0;0;0;-.52630824;900;15
1;17;10;1;0;0;1;13;0;0;0;1;1;1;0;0;0;289;13
1;37;9;1;0;0;1;24;0;0;1.06751;1;1;0;0;0;.065328844;1369;24
1;41;4;1;0;1;1;14;0;0;7.2849898;1;1;0;0;0;1.985816;1681;14
1;42;14;1;0;1;0;23;0;0;13.1675;1;1;0;0;0;2.5777516;1764;23
1;22;11;0;0;0;1;13;0;0;1.0484301;1;1;0;0;0;.047293887;484;13
1;17;8;1;0;0;1;13;0;0;0;1;1;1;0;0;0;289;13
1;29;8;1;0;0;1;13;0;0;1.9239399;1;1;0;0;0;.65437514;841;13
1;35;10;1;0;0;1;14;0;0;4.6662402;1;1;0;0;0;1.5403537;1225;14
1;27;11;1;0;0;1;13;0;0;.54929793;1;1;0;0;0;-.5991143;729;13
1;29;4;1;0;0;1;13;0;0;.76291502;1;1;0;0;0;-.27060863;841;13
1;28;9;1;0;0;1;22;0;0;10.6943;1;1;0;0;0;2.3697109;784;22
1;27;11;1;0;0;1;13;0;0;0;1;1;1;0;0;0;729;13
1;23;7;0;0;0;1;15;0;0;0;1;1;1;0;0;0;529;15
1;45;5;1;0;1;1;15;0;0;8.5467196;1;1;0;0;0;2.1455476;2025;15
1;29;13;1;0;0;0;13;0;0;7.47966;1;1;0;0;0;2.0121872;841;13
1;27;9;1;0;0;1;14;0;0;0;1;1;1;0;0;0;729;14
1;46;13;1;0;0;0;15;0;0;.647205;1;1;0;0;0;-.43509218;2116;15
1;18;6;1;0;0;1;13;0;0;0;1;1;1;0;0;0;324;13
1;25;12;1;0;0;0;22;0;0;11.965799;1;1;0;0;0;2.4820526;625;22
1;28;15;1;0;0;0;13;0;0;9.5985394;1;1;0;0;0;2.261611;784;13
1;25;11;0;0;0;1;23;0;0;18.7834;1;1;0;0;0;2.9329734;625;23
1;22;12;1;0;0;0;24;0;0;18.678099;1;1;0;0;0;2.9273517;484;24
1;21;9;1;0;0;1;15;0;0;0;1;1;1;0;0;0;441;15
1;40;11;1;0;0;1;22;0;0;23.0056;1;1;0;0;0;3.1357377;1600;22
1;22;11;1;0;0;1;14;0;0;6.4567003;1;1;0;0;0;1.8651184;484;14
1;25;12;1;0;0;0;14;0;0;0;1;1;1;0;0;0;625;14
1;18;12;1;0;0;0;14;0;0;2.3211102;1;1;0;0;0;.84204561;324;14
1;38;12;0;0;0;0;22;0;0;4.9418502;1;1;0;0;0;1.5977398;1444;22
1;27;13;1;0;0;0;15;0;0;0;1;1;1;0;0;0;729;15
1;27;8;1;0;0;1;21;0;0;0;1;1;1;0;0;0;729;21
1;38;11;1;0;0;1;21;0;0;0;1;1;1;0;0;0;1444;21
1;23;8;0;1;0;1;21;0;0;3.8812802;1;1;0;0;0;1.3561651;529;21
1;26;11;1;0;0;1;22;0;0;17.230999;1;1;0;0;0;2.84671;676;22
1;21;12;0;0;0;0;14;0;0;8.0486002;1;1;0;0;0;2.0854981;441;14
1;25;8;1;0;0;1;15;0;0;0;1;1;1;0;0;0;625;15
1;31;11;1;0;1;1;24;0;0;14.5099;1;1;0;0;0;2.6748312;961;24
1;17;10;1;0;0;1;13;0;0;0;1;1;1;0;0;0;289;13
1;25;11;1;0;0;1;22;0;0;0;1;1;1;0;0;0;625;22
1;21;12;1;0;0;0;15;0;0;9.9837799;1;1;0;0;0;2.3009617;441;15
1;44;11;1;0;0;1;15;0;0;0;1;1;1;0;0;0;1936;15
1;25;12;0;0;0;0;23;0;0;5.5875001;1;1;0;0;0;1.7205319;625;23
1;18;9;1;0;0;1;21;0;0;4.4828501;1;1;0;0;0;1.500259;324;21
1;42;12;1;0;0;0;22;0;0;2.4561498;1;1;0;0;0;.89859504;1764;22
1;25;10;1;0;0;1;22;0;0;0;1;1;1;0;0;0;625;22
1;31;9;0;1;0;1;23;0;0;26.8176;1;1;0;0;0;3.2890584;961;23
1;24;10;1;0;0;1;21;0;0;0;1;1;1;0;0;0;576;21
1;26;10;1;0;0;1;24;0;0;9.26579;1;1;0;0;0;2.2263291;676;24
1;25;11;1;0;0;1;24;0;0;.48523003;1;1;0;0;0;-.72313219;625;24
1;18;11;1;0;0;1;21;0;0;4.8146296;1;1;0;0;0;1.5716591;324;21
1;19;11;1;0;0;1;22;0;0;7.4581099;1;1;0;0;0;2.0093019;361;22
1;43;9;1;0;0;1;21;0;0;0;1;1;1;0;0;0;1849;21
1;27;13;1;0;0;0;21;0;0;34.0993;1;1;0;0;0;3.5292768;729;21
1;17;9;1;0;0;1;24;0;0;1.95327;1;1;0;0;0;.66950488;289;24
1;30;11;1;0;0;1;24;0;0;0;1;1;1;0;0;0;900;24
1;26;10;1;0;1;1;24;2.0280001;0;0;0;1;1;.70705014;0;0;676;24
1;20;9;1;0;0;1;24;6.0839901;0;8.88167;0;1;0;1.8056607;0;2.1839895;400;24
1;17;9;0;1;0;1;22;.44517002;.074343495;6.21067;0;0;0;-.80929899;-2.5990591;1.8262688;289;22
1;20;12;1;0;0;0;22;.989268;.165208;0;0;0;1;-.010789998;-1.80055;0;400;22
1;18;11;1;0;0;1;21;.85825408;.214564;.92988396;0;0;0;-.1528551;-1.5391473;-.072695479;324;21
1;27;12;1;0;1;0;23;3.6708703;.33404902;0;0;0;1;1.3004287;-1.0964675;0;729;23
1;21;12;0;0;0;0;23;3.6708703;.33404902;12.558001;0;0;0;1.3004287;-1.0964675;2.5303581;441;23
1;27;12;1;0;0;0;22;2.14341;.35795003;22.163301;0;0;0;.762398;-1.0273619;3.0984378;729;22
1;20;12;1;0;0;0;22;0;.37756902;1.65264;1;0;0;0;-.97400188;.50237399;400;22
1;19;10;1;0;0;1;22;0;.38527399;8.1247196;1;0;0;0;-.9538005;2.0949113;361;22
1;23;12;1;0;0;0;23;5.50631;.50107402;.671332;0;0;0;1.7058947;-.69100147;-.39849147;529;23
1;29;14;1;0;0;0;24;0;.67967296;17.814999;1;0;0;0;-.38614354;2.8800406;841;24
1;18;10;1;0;0;1;21;0;.79890805;9.7371502;1;0;0;0;-.22450942;2.2759485;324;21
1;19;9;1;0;0;1;24;0;.79890805;17.6852;1;0;0;0;-.22450942;2.8727281;361;24
1;27;13;0;0;1;0;23;9.3815708;.85372305;0;0;0;1;2.2387471;-.15814844;0;729;23
1;18;11;0;0;0;1;21;3.6782298;.91955793;4.3217096;0;0;0;1.3024316;-.083862238;1.4636511;324;21
1;27;9;1;0;1;1;23;0;.93444502;1.77342;1;0;0;0;-.067802481;.57290989;729;23
1;22;12;1;0;0;0;22;5.6058502;.93617696;0;0;0;1;1.7238108;-.065950766;0;484;22
1;23;10;1;0;1;1;21;0;.93643904;11.2333;1;0;0;0;-.065670855;2.4188826;529;21
1;23;12;0;1;0;0;23;9.3857403;1.11744;.559443;0;0;0;2.2391915;.11104034;-.58081365;529;23
1;20;11;1;0;0;1;23;3.6375;1.22084;1.0854399;0;0;0;1.2912966;.19953912;.081985362;400;23
1;17;9;1;0;0;1;21;1.7165101;1.2534399;5.4452004;0;0;0;.54029322;.22589169;1.6947346;289;21
1;28;11;1;0;0;1;23;0;1.2840799;60.307899;1;0;0;0;.25004244;4.099463;784;23
1;26;11;1;0;1;1;21;0;1.39285;1.4603599;1;0;0;0;.33135203;.37868294;676;21
1;20;11;1;0;0;1;23;16.3186;1.48499;6.9433393;0;0;0;2.7923055;.39540803;1.9377829;400;23
1;24;11;1;0;1;1;22;.82438898;1.66611;4.0327101;0;0;0;-.19311279;.51049161;1.3944386;576;22
1;31;9;1;0;0;1;22;0;1.6986099;10.363299;1;0;0;0;.52981025;2.3382707;961;22
1;23;8;0;0;1;1;23;0;1.71315;4.2323103;1;0;0;0;.53833377;1.4427481;529;23
1;18;10;1;0;0;1;22;2.14341;1.78427;11.1414;0;0;0;.762398;.57900941;2.4106679;324;22
1;29;12;1;0;0;0;22;10.8819;1.8172801;0;0;0;1;2.3871009;.59734088;0;841;22
1;26;11;0;0;0;1;23;0;2.2262702;13.3859;1;0;0;0;.8003276;2.594202;676;23
1;24;9;1;0;0;1;21;9.1547003;2.2886798;4.8495603;0;0;0;2.2142675;.82797515;1.5788881;576;21
1;25;12;1;0;0;0;22;14.426801;2.40927;0;0;0;1;2.6690876;.87932384;0;625;22
1;24;10;1;0;0;1;21;4.2503996;2.4219499;1.6605101;0;0;0;1.447013;.88457292;.50712484;576;21
1;46;8;1;0;0;1;22;3.1656599;2.5947199;0;0;0;1;1.1523615;.95347857;0;2116;22
1;31;12;0;0;0;0;23;0;2.6112199;2.48455;1;0;0;0;.95981753;.91009158;961;23
1;19;11;1;0;0;1;21;2.3050301;2.6152799;4.1465998;0;0;0;.83509374;.96137112;1.4222887;361;21
1;19;8;1;0;0;1;21;0;2.6570601;9.9706793;1;0;0;0;.9772203;2.2996488;361;21
1;27;11;1;0;0;1;21;2.2069399;2.66627;0;0;0;1;.7916069;.98068053;0;729;21
1;26;11;1;0;1;1;23;0;2.7546499;26.372303;1;0;0;0;1.0132904;3.2723143;676;23
1;20;10;1;0;0;1;23;5.0057302;2.7773602;5.61519;0;0;0;1.6105833;1.0215009;1.7254754;400;23
1;28;10;1;0;0;1;23;0;2.8365102;3.1965699;1;0;0;0;1.0425745;1.1620784;784;23
1;24;12;1;0;0;0;23;13.7658;2.8427601;6.1676803;0;0;0;2.6221874;1.0447755;1.8193228;576;23
1;19;8;1;0;0;1;23;2.6363502;2.9372602;7.5359397;0;0;0;.96939546;1.0774772;2.0196836;361;23
1;23;12;1;0;0;0;21;6.2693396;3.0399599;8.4842396;0;0;0;1.8356711;1.1118443;2.1382103;529;21
1;42;9;1;0;1;1;15;0;3.0585301;1.29441;1;0;0;0;1.1179345;.25805497;1764;15
1;25;13;1;0;0;0;21;12.362901;3.09073;0;0;0;1;2.5147002;1.1284072;0;625;21
1;18;9;1;0;0;1;22;0;3.2873797;5.0103397;1;0;0;0;1.1900908;1.6115037;324;22
1;21;12;1;0;0;0;21;6.47368;3.3324101;9.3710403;0;0;0;1.8677447;1.2036958;2.2376242;441;21
1;27;10;1;0;0;1;23;1.00115;3.5500801;0;0;0;1;.0011493512;1.2669702;0;729;23
1;21;8;1;0;0;1;22;.989268;3.6959;4.2796097;0;0;0;-.010789998;1.307224;1.4538618;441;22
1;22;9;1;0;0;1;22;2.1928799;3.8369899;3.4625599;0;0;0;.78521574;1.3446882;1.2420082;484;22
1;31;4;1;0;0;1;24;8.5175896;4.02321;7.3825502;0;0;0;2.1421335;1.3920801;1.9991192;961;24
1;24;10;1;0;1;1;24;11.7032;4.0781498;0;0;0;1;2.4598622;1.4056435;0;576;24
1;29;10;1;0;0;1;24;0;4.3989501;0;1;0;1;0;1.4813659;0;841;24
1;29;12;1;0;0;0;22;9.7483892;4.8789396;10.9765;0;0;0;2.277102;1.5849279;2.3957565;841;22
1;19;10;0;0;0;1;21;0;5.32411;13.829599;1;0;0;0;1.6722456;2.6268113;361;21
1;19;11;0;1;1;1;22;5.4244905;5.4637995;6.7884598;0;0;0;1.6909239;1.6981444;1.9152241;361;22
1;31;9;1;0;0;1;22;10.717;5.5178399;9.5585003;0;0;0;2.3718312;1.7079865;2.2574308;961;22
1;22;10;1;0;1;1;23;1.4683499;5.5886602;13.2283;0;0;0;.38413927;1.7207396;2.5823586;484;23
1;21;9;1;0;0;1;21;6.4164705;5.74933;.74366701;0;0;0;1.8588682;1.7490833;-.29616192;441;21
1;17;10;1;0;0;1;21;1.2914699;5.7938499;5.52279;0;0;0;.25578105;1.756797;1.7088832;289;21
1;26;12;1;0;1;0;22;8.4087601;5.7948298;1.4249399;0;0;0;2.1292741;1.7569661;.35412961;676;22
1;20;9;0;1;0;1;21;12.2608;5.8750501;1.35864;0;0;0;2.5064073;1.7707146;.30648416;400;21
1;19;10;1;0;0;1;22;4.1219501;6.0567503;0;0;0;1;1.4163264;1.8011734;0;361;22
1;26;10;1;0;0;1;23;25.929699;6.7889605;.67287701;0;0;0;3.255389;1.9152979;-.3961927;676;23
1;28;11;1;0;0;1;21;1.9290301;6.8718596;0;0;0;1;.65701729;1.9274348;0;784;21
1;22;12;0;1;1;0;23;.49223098;7.0556998;10.0928;0;0;0;-.70880717;1.9538357;2.3118224;484;23
1;33;11;1;0;0;1;22;0;7.8679199;6.2814302;1;0;0;0;2.0627937;1.8375977;1089;22
1;22;12;0;0;0;0;22;6.7599897;8.4554996;12.5907;0;0;0;1.9110214;2.1348171;2.5329585;484;22
1;29;10;0;1;0;1;21;0;8.8536701;5.11201;1;0;0;0;2.1808321;1.6315926;841;21
1;33;12;1;0;1;0;24;20.280001;10.941401;15.9526;0;0;0;3.0096352;2.3925538;2.7696218;1089;24
1;25;14;1;0;1;0;23;35.0401;11.5366;36.646999;0;0;0;3.556493;2.4455247;3.6013315;625;23
1;35;9;1;0;1;1;22;13.6024;13.8306;12.803999;0;0;0;2.6102462;2.6268835;2.5497575;1225;22
1;35;8;1;0;1;1;21;13.7321;17.9762;3.7866299;0;0;0;2.6197362;2.8890486;1.3314764;1225;21
1;33;11;1;0;1;1;24;14.6607;25.1422;4.1819401;0;0;0;2.6851704;3.2245476;1.4307753;1089;24
0;23;10;1;0;0;1;21;0;0;0;1;1;1;0;0;0;529;0
0;26;12;0;0;0;0;14;0;0;12.3837;1;1;0;0;0;2.516381;676;0
0;22;9;1;0;0;1;5;0;0;0;1;1;1;0;0;0;484;0
0;18;9;1;0;0;1;15;0;0;10.740099;1;1;0;0;0;2.3739843;324;0
0;45;11;1;0;0;1;14;0;0;11.796499;1;1;0;0;0;2.4678028;2025;0
0;18;9;1;0;0;1;15;0;0;9.2270498;1;1;0;0;0;2.2221394;324;0
0;24;8;0;0;0;1;15;0;0;10.5693;1;1;0;0;0;2.3579535;576;0
0;34;11;1;0;1;1;14;0;0;6.0403395;1;1;0;0;0;1.7984602;1156;0
0;24;4;0;1;0;1;21;0;0;3.88083;1;1;0;0;0;1.3560491;576;0
0;36;10;1;0;0;1;23;0;0;0;1;1;1;0;0;0;1296;0
0;21;14;1;0;0;0;15;0;0;5.7750597;1;1;0;0;0;1.7535486;441;0
0;28;9;1;0;0;1;14;0;0;0;1;1;1;0;0;0;784;0
0;27;7;1;0;1;1;13;0;0;0;1;1;1;0;0;0;729;0
0;19;11;0;0;0;1;22;0;0;0;1;1;1;0;0;0;361;0
0;20;8;1;0;0;1;15;0;0;0;1;1;1;0;0;0;400;0
0;34;12;1;0;0;0;21;0;0;2.1137199;1;1;0;0;0;.74844939;1156;0
0;24;10;1;0;0;1;13;0;0;7.6186399;1;1;0;0;0;2.0305979;576;0
0;22;8;0;1;0;1;5;0;0;9.9209499;1;1;0;0;0;2.2946486;484;0
0;25;11;1;0;0;1;13;0;0;4.1963797;1;1;0;0;0;1.4342222;625;0
0;39;9;1;0;0;1;21;0;0;0;1;1;1;0;0;0;1521;0
0;19;9;1;0;1;1;12;0;0;16.6583;1;1;0;0;0;2.8129086;361;0
0;44;9;1;0;0;1;21;0;0;9.7220001;1;1;0;0;0;2.2743914;1936;0
0;27;8;1;0;0;1;15;0;0;3.7836597;1;1;0;0;0;1.3306917;729;0
0;25;8;1;0;0;1;6;0;0;3.5159297;1;1;0;0;0;1.257304;625;0
0;31;10;1;0;0;1;14;0;0;17.014599;1;1;0;0;0;2.8340716;961;0
0;34;10;1;0;1;1;15;0;0;0;1;1;1;0;0;0;1156;0
0;21;7;0;1;0;1;15;0;0;0;1;1;1;0;0;0;441;0
0;33;12;1;0;0;0;22;0;0;5.9702597;1;1;0;0;0;1.7867904;1089;0
0;18;10;0;1;0;1;6;0;0;1.85917;1;1;0;0;0;.62013012;324;0
0;26;12;1;0;1;0;23;0;0;6.1919398;1;1;0;0;0;1.8232484;676;0
0;31;12;1;0;0;0;15;0;0;7.2843904;1;1;0;0;0;1.9857337;961;0
0;35;10;1;0;0;1;13;0;0;.445831;1;1;0;0;0;-.80781531;1225;0
0;20;12;1;0;0;0;15;0;0;0;1;1;1;0;0;0;400;0
0;25;11;1;0;0;1;22;0;0;0;1;1;1;0;0;0;625;0
